sample_id_pangaea	par	depth_bathy	lyapunov_exp	temperature	chla	backscattering	depth_chl_max	mixed_layer_depth_sigma	depth_max_brunt_väisälä	nitrite	phosphate	nitrate_nitrite	silicate	nstar
TARA_B100001287	36.169662	-4136	0.032361	26.478605	0.251665	0.002665	36	23	39	0.067	0.456	2.444	2.538	-4.852
TARA_B100001540	24.816668	-4556	0.04793	19.312775	0.126112	0.002151	26		218	0.2225		0.7375	0.944	
TARA_B100001559	38.362717	-3516	0.025897	16.74703	0.16463	0.002213	68	40	108	0.0415	0.022	0.142	0.6335	-0.21
TARA_B100001564	40.068348	-3478	0.025897	17.303005	0.111686	0.002212	68	54	118	0.019	0.0125		0.6545	
TARA_B100001750	23.46413	-5057		18.129194	0	0.001869	43	173	180	0.0305	0.179	4.1285	1.6225	1.2645
TARA_B100001758	38.580673	-4781	0.079308	18.82554	0.156401	0.002602	33	151	171					
TARA_B100001765	38.3299	-4789	0.079308	10.496305	0.00482	0.001767	28	73	150	0.00725	1.34475	20.924		-0.591999999999999
TARA_B100001769	33.899197	-3140	0.073051	17.627142	0.191003	0.002612	33	75	92	0.0355	0.0055	0.1695	0.8358	0.0815
TARA_B100001778	33.24664	-2747	0.073051	17.585567	0.21402	0.002561	48	58	105	0.04	0	0.1745	0.8423	0.1745
TARA_B100001939	36.060986	-1491	0	27.1673	0.094165	0.003103	38	10	66	0.00205	0.0132	5e-04	1.1195	-0.2107
TARA_B100001964	36.169662	-4118	0.032361	20.58574	0.366719	0.003021	34	20	39	0.3055	0.884	6.0475	4.661	-8.0965
TARA_B100001971	36.169662	-4140	0.032361	8.887131	0	0.001768	37	22	40	0.0093	2.9545	34.551	46.6245	-12.721
TARA_B100001989	33.237934	-3169	0.020154	26.605515	0.125361	0.002208	55	37	57	0.003	0.1575	0.002	1.1855	-2.518
TARA_B100001996	34.9008	-3189	0.020154	17.291965	0.219944	0.002088	50	26	53	0.464	1.108	12.904	8.073	-4.824
TARA_B100002003	36.28312	-3241	0.020154	8.149894	0	0.001773	45	21	49	0.0078	3.155	36.219	52.9225	-14.261
TARA_B100002019	32.22867	-2982	0	26.555663	0.182274	0.002864	23	11	42	0.0043	0.09345	0.00275	0.63375	-1.49245
TARA_B100002029	28.038713	-4004	0.033926	14.306265	0.188325	0.002264	13	172	235	0.328	0.167	2.2845	1.32	-0.3875
TARA_B100002049	31.600088	-3257	0.044572	9.735075	0	0.001803	33	145	156	0	1.2175		8.624	
TARA_B100002051	32.40084	-3325	0.044572	24.98456	0.123459	0.002177	117	150	160	0.0195	0.003	0.049	1.218	0.001
TARA_B100002052	31.600088	-3246	0.044572	24.961605	0.114913	0.002137	34	144	154	0.0175		0.0615	1.168	
TARA_B110000003	35.49691	-2484	0.101888	11.09547	0.772148	0.002862	28	34	37	0.237125	0.401861	8.035625	0.967928	1.605849
TARA_B110000008	34.51677	-2387	0.101888	10.79018	0.789471	0.002213	54	29	32	0.071	0.566253	10.158	3.554362	1.097952
TARA_B110000014	34.269352	-2435	0.101888	8.923581	0	0.001799	32	28	32					
TARA_B110000023	35.262463	-267	0.011037	7.48766	0.825342	0.00409	30	15	31	0	0	0.0595	1.725127	0.0595
TARA_B110000027	35.262463	-267	0.011037	7.48766	0.825342	0.00409	30	15	31	0	0	0.0595	1.725127	0.0595
TARA_B110000037	35.262463	-266	0.011037	3.1072	0.321278	0.002491		11	40	0	0.098435	0.821	1.459545	-0.75396
TARA_B110000044	35.262463	-268	0.011037	3.824545	1.1063	0.002881	28	19	35	0.063	0.098435	0.821	1.135333	-0.75396
TARA_B110000046	35.262463	-268	0.011037	3.824545	1.1063	0.002881	28	19	35	0.063	0.098435	0.821	1.135333	-0.75396
TARA_B110000083	34.829765	-87	0	-0.160312	0.417069	0.003468	47	10	19	0.0015	0.056871	0.441	0.273079	-0.468936
TARA_B110000085	35.79881	-87	0	-1.29785	2.003142	0.005878	47	10	19	0.026	0.209065	1.709	0.231772	-1.63604
TARA_B110000090	34.829765	-87	0	-0.160312	0.417069	0.003468	47	10	19	0.0015	0.056871	0.441	0.273079	-0.468936
TARA_B110000091	35.79881	-87	0	-1.29785	2.003142	0.005878	47	10	19	0.026	0.209065	1.709	0.231772	-1.63604
TARA_B110000093	28.99674	-437	0	1.025705	0.514823	0.002512	33		22	0.0475	0.35669	2.5925	1.74362	-3.11454
TARA_B110000112	30.535398	-449	0	1.47689	0.008083	0.002002	16	10	3	0.019	0.730535	11.508	4.994604	-0.180560000000002
TARA_B110000114	29.546314	-440	0	1.365705	1.019477	0.00403	15	25	34	0.001	0.063634	0.3685	0.523062	-0.649644
TARA_B110000116	30.535398	-449	0	1.47689	0.008083	0.002002	16	10	3	0.019	0.730535	11.508	4.994604	-0.180560000000002
TARA_B110000122	28.99674	-437	0	1.025705	0.514823	0.002512	33		22	0.0475	0.35669	2.5925	1.74362	-3.11454
TARA_B110000196	32.53776	-2937	0.058176	0.099535	0	0.001849	104		573					
TARA_B110000200	32.53776	-2937	0.058176	0.099535	0	0.001849	104		573					
TARA_B110000204	36.34952	-318	0	1.325833	0.119264	0.002453	83	14	25	0.008333	0.047034	0.278	0.244154	-0.474544
TARA_B110000206	36.08005	-32	0	-1.533492	0.509085	0.004017	34	10	5	0.075667	0.482771	2.080833	8.877352	-5.643503
TARA_B110000208	36.34952	-318	0	1.325833	0.119264	0.002453	83	14	25	0.008333	0.047034	0.278	0.244154	-0.474544
TARA_B110000211	36.08005	-32	0	-1.533492	0.509085	0.004017	34	10	5	0.075667	0.482771	2.080833	8.877352	-5.643503
TARA_B110000233		-33	0	-1.649738	1.417326	0.0041	19	16	20	0.074	0.216027	0.513	0.465648	-2.943432
TARA_B110000235		-33	0	-1.647244	1.375654	0.004228	19	16	20	0.124	0.307592	1.227	0.851791	-3.694472
TARA_B110000238		-33	0	-1.649738	1.417326	0.0041	19	16	20	0.074	0.216027	0.513	0.465648	-2.943432
TARA_B110000240		-33	0	-1.647244	1.375654	0.004228	19	16	20	0.124	0.307592	1.227	0.851791	-3.694472
TARA_B110000253	15.248047	-1071	0	0.10149	0.815481	0.00305	21	10	6					
TARA_B110000255	11.577317	-669	0	-0.607125	0.892787	0.00285	20	10	5					
TARA_B110000257	10.729718	-745	0	1.59404	0	0.001759	18	10	4					
TARA_B110000259	15.248047	-1071	0	0.10149	0.815481	0.00305	21	10	6					
TARA_B110000261	11.577317	-669	0	-0.607125	0.892787	0.00285	20	10	5					
TARA_B110000263	10.729718	-745	0	1.59404	0	0.001759	18	10	4					
TARA_B110000283	8.65705		0	1.48885	0.431723	0.140534				0.07525	1.195806	1.06325	19.646147	-18.069646
TARA_B110000285	8.65705		0	1.48885	0.431723	0.140534				0.07525	1.195806	1.06325	19.646147	-18.069646
TARA_B110000303	9.864083	-495	0	2.5694	0.485962	0.016171	14	11	21	0.0865	0.430504	0.4235	2.822912	-6.464564
TARA_B110000305	9.864083	-495	0	2.5694	0.485962	0.016171	14	11	21	0.0865	0.430504	0.4235	2.822912	-6.464564
TARA_B110000436	6.177543	-2760	0.078105	4.791395	0	0.001863		70	79	0.134	0.851461	9.908	4.07817	-3.715376
TARA_B110000442	6.347443	-2770	0.078105	5.295265	0.613636	0.002962	23	73	82	0.31575	0.511975	5.8035	2.252584	-2.3881
TARA_B110000444	6.347443	-2770	0.078105	5.295265	0.613636	0.002962	23	73	82	0.31575	0.511975	5.8035	2.252584	-2.3881
TARA_B110000457	7.141685	-489	0	2.496125	0.825917	0.003484	18	19	94					
TARA_B110000459	7.141685	-489	0	2.496125	0.825917	0.003484	18	19	94					
TARA_B110000465	7.141685	-513	0	4.20173	0	0.002966		15	89					
TARA_B110000467	7.141685	-513	0	4.20173	0	0.002966		15	89					
TARA_B110000481	3.474255	-661	0	1.445315	0.771475	0.004098	13	16	58	0.128	0.220883	1.24175	1.04231	-2.292378
TARA_B110000483	3.474255	-661	0	1.445315	0.771475	0.004098	13	16	58	0.128	0.220883	1.24175	1.04231	-2.292378
TARA_B110000493	3.725886	-680	0	3.03554	0	0.002097	14	25	35					
TARA_B110000494	3.725886	-680	0	3.03554	0	0.002097	14	25	35					
TARA_B110000495	3.725886	-680	0	3.03554	0	0.002097	14	25	35					
TARA_B110000501	36.22067	-32	0	2.507887	0.547446	0.005696	34	10	5	0.014667	0.238302	0.247333	11.775524	-3.565499
TARA_B110000503	36.22067	-32	0	2.507887	0.547446	0.005696	34	10	5	0.014667	0.238302	0.247333	11.775524	-3.565499
TARA_B110000856	4.667115	-344	0	3.1965	0.39292	0.002978	13	49	112	0.1665	0.312072	1.916	0.819597	-3.077152
TARA_B110000857	4.667115	-344	0	3.1965	0.39292	0.002978	13	49	112	0.1665	0.312072	1.916	0.819597	-3.077152
TARA_B110000858	4.667115	-344	0	3.1965	0.39292	0.002978	13	49	112	0.1665	0.312072	1.916	0.819597	-3.077152
