sample_id_pangaea	sample_material	event_date	event_latitude	event_longitude	depth_nominal	marine_biome	ocean_region	biogeo_province	station	depth	size_fraction	lower_size_fraction	upper_size_fraction	depthplot	sizeplot	station_plot	biomeplot	polar	abs_lat	uniq	complete	coral_station
TARA_A100001144	TARA_032_SRF_180-2000	2010-01-11T08:37	23.3733	37.2167	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	SRF	180-2000	180	2000	SRF	meso	032 SRF	Coastal	Non polar	23.3733	yes	yes	no
TARA_A100001145	TARA_032_DCM_0.8-5	2010-01-11T14:17	23.4183	37.245	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	DCM	0.8-5	0.8	5	MIX/DCM	piconano	032 MIX/DCM	Coastal	Non polar	23.4183	yes	yes	no
TARA_A100001146	TARA_032_DCM_5-20	2010-01-11T14:17	23.4183	37.245	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	DCM	5-20	5	20	MIX/DCM	nano	032 MIX/DCM	Coastal	Non polar	23.4183	yes	yes	no
TARA_A100001147	TARA_032_DCM_20-180	2010-01-11T12:28	23.41	37.2383	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	DCM	20-180	20	180	MIX/DCM	micro	032 MIX/DCM	Coastal	Non polar	23.41	yes	yes	no
TARA_A100001148	TARA_032_DCM_180-2000	2010-01-11T14:15	23.4183	37.245	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	DCM	180-2000	180	2000	MIX/DCM	meso	032 MIX/DCM	Coastal	Non polar	23.4183	yes	yes	no
TARA_A100001150	TARA_032_SRF_5-20	2010-01-11T07:21	23.36	37.2183	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	SRF	5-20	5	20	SRF	nano	032 SRF	Coastal	Non polar	23.36	no	no	no
TARA_A100001160	TARA_032_DCM_5-20	2010-01-11T14:17	23.4183	37.245	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	DCM	5-20	5	20	MIX/DCM	nano	032 MIX/DCM	Coastal	Non polar	23.4183	no	no	no
TARA_A100001234	TARA_033_SRF_0.22-1.6	2010-01-13T07:16	21.9467	38.2517	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	033	SRF	0.22-1.6	0.22	1.6	SRF	pico	033 SRF	Coastal	Non polar	21.9467	yes	no	no
TARA_A100001244	TARA_033_SRF_0.8-20	2010-01-13T07:16	21.9467	38.2517	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	033	SRF	0.8-20	0.8	20	SRF	piconano	033 SRF	Coastal	Non polar	21.9467	yes	no	no
TARA_A100001245	TARA_033_SRF_20-180	2010-01-13T07:20	21.9467	38.2517	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	033	SRF	20-180	20	180	SRF	micro	033 SRF	Coastal	Non polar	21.9467	yes	no	no
