Dataset	Station	Tara_Sample_ID	"Depth, nominal"	Fraction_size	Latitude	Longitude	Zooplankton	Copepoda	Rhizaria	Cnidaria	Tunicata	Eumalacostraca	Pteropoda	Chaetognatha	Other_large	Other_small	Other_unidentified	Small_grazers	Diatoms	Dinoflagelates	Acartiidae	Aetideidae	Arietellidae	Augaptilidae	Calanidae	Calanoida_unidentified	Candaciidae	Centropagidae	Corycaeidae	Eucalanidae	Euchaetidae	Harpacticoida	Heterorhabdidae	Lubbockiidae	Metridinidae	Monstrilloida	Oithonidae	Oncaeidae	Paracalanidae	Pontellidae	Rhincalanidae	Sapphirinidae	Temoridae	All Calanoida	All Cyclopoida	All Harpacticoida	All Monstrilloida	All Poecilostomatoida	Copepoda_unidentified
regent	TARA_053	TARA_P100000670	0-500	680	-13.0778	46.9869	9.56	3.48	0.10	2.12	0.27	0.46	0.12	1.48	0.51	0.83	1.00	0.19	0.00	0.00	0.00	0.02	0.00	0.49	0.07	0.49	0.10	0.00	0.00	0.49	0.49	0.00	0.15	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.32	0.19	0.00	3.19	0.00	0.00	0.00	0.19	0.05
regent	TARA_058	TARA_P100000678	0-500	680	-17.3709	42.2641	0.85	0.40	0.01	0.07	0.03	0.08	0.09	0.04	0.04	0.04	0.04	0.05	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.06	0.01	0.00	0.00	0.09	0.04	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.09	0.01	0.00	0.37	0.00	0.00	0.00	0.01	0.01
regent	TARA_064	TARA_P100000835	0-500	680	-29.5067	37.9427	5.71	2.48	0.15	0.84	0.29	0.44	0.10	0.65	0.19	0.30	0.21	0.34	0.00	0.00	0.00	0.02	0.00	0.13	0.11	0.84	0.06	0.00	0.02	0.06	0.40	0.00	0.15	0.00	0.48	0.00	0.00	0.00	0.00	0.02	0.17	0.04	0.00	2.44	0.00	0.00	0.00	0.06	0.10
regent	TARA_065	TARA_P100000271	0-500	680	-35.2450	26.3200	5.56	3.12	0.04	0.63	0.06	0.41	0.04	0.65	0.22	0.19	0.11	0.22	0.00	0.00	0.00	0.04	0.00	0.06	0.11	0.28	0.02	0.00	0.00	0.76	0.17	0.00	0.13	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.82	0.06	0.00	2.84	0.00	0.00	0.00	0.06	0.13
regent	TARA_067	TARA_P100000729	0-100	680	-32.2201	17.4272	9.44	4.49	0.06	0.08	0.02	0.51	0.81	0.51	1.60	1.30	0.43	0.06	0.00	0.00	0.00	0.02	0.00	0.00	0.79	0.39	0.00	0.00	0.00	0.10	0.00	0.00	0.08	0.00	0.18	0.00	0.00	0.00	0.00	0.00	2.82	0.00	0.00	4.37	0.00	0.00	0.00	0.00	0.00
regent	TARA_068	TARA_P100000745	0-500	680	-31.0264	5.3602	4.93	2.45	0.00	0.69	0.48	0.18	0.14	0.32	0.23	0.09	0.18	0.35	0.00	0.00	0.00	0.00	0.00	0.05	0.58	0.37	0.21	0.00	0.00	0.04	0.37	0.00	0.12	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.05
regent	TARA_069	TARA_P100000744	0-500	680	-24.1835	2.6714	5.31	3.83	0.01	0.13	0.09	0.17	0.02	0.48	0.23	0.13	0.25	0.23	0.00	0.00	0.00	0.03	0.00	0.05	0.13	1.28	0.02	0.00	0.01	0.99	0.58	0.00	0.12	0.00	0.16	0.00	0.00	0.00	0.00	0.08	0.01	0.13	0.00	3.45	0.00	0.00	0.00	0.14	0.12
regent	TARA_070	TARA_P100000769	0-500	680	-20.3053	-3.3043	7.20	4.52	0.10	0.20	0.13	0.18	0.15	0.43	0.97	0.20	0.38	0.28	0.00	0.00	0.00	0.03	0.00	0.13	0.43	1.66	0.05	0.00	0.00	0.08	1.15	0.00	0.18	0.00	0.26	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	3.98	0.00	0.00	0.00	0.00	0.03
regent	TARA_071	TARA_P100000772	0-300	680	-9.2756	-9.6136	11.96	3.86	0.00	0.09	6.58	0.43	0.09	0.00	0.37	0.23	0.06	0.31	0.00	0.00	0.00	0.03	0.00	0.00	0.97	1.32	0.14	0.00	0.00	0.00	1.14	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.03	0.03	0.03	0.00	3.72	0.00	0.00	0.00	0.03	0.00
regent	TARA_072	TARA_P100000951	0-500	680	-8.7764	-17.9133	6.50	5.03	0.04	0.39	0.04	0.30	0.06	0.18	0.09	0.26	0.15	0.15	0.00	0.00	0.00	0.02	0.00	0.15	1.03	1.13	0.13	0.00	0.00	0.04	1.74	0.00	0.09	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.00	4.86	0.00	0.00	0.00	0.04	0.07
